source_id,ra,e_ra,dec,e_dec,parallax,e_parallax,pmra,e_pmra,pmdec,e_pmdec,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BP_RP,BP_G,G_RP,rv,e_rv,rv_flag,rv_gaia,e_rv_gaia,rv_bh18,e_rv_bh18,U,e_U,V,e_V,B,e_B,I,e_I,CUBI,e_CUBI,chi,sharp,vary,RAJ2000,DEJ2000,Cluster,_2MASS,Jmag,e_Jmag,Kmag,e_Kmag,dCUBI,X,Y,pm_X,pm_Y,r,theta,pm_r,pm_t
4689639056383026176,5.89377336544,0.047,-72.05399530632,0.0534,0.2364,0.0557,5.011,0.055,-3.377,0.075,1.248,16.340532,0.003332,16.401918,0.021629,15.441114,0.018342,0.960804,0.061386,0.899418,,,,,,,,17.688,0.0176,16.56,0.0021,17.356,0.0023,15.666,0.0022,-1.3580017,0.018032748,1.213,-0.007,0.977,b'00 23 34.51',b'-72 03 14.4\r',b'NGC104',,,,,,,-0.039610656541402854,0.027406850416811245,-0.23122221903505663,0.15711955816805728,0.04816782703641973,145.32040821596553,0.2795437735031136,0.0023555954791003365
4689625763465127936,5.89458296489,0.0701,-72.14906580696,0.0737,0.0958,0.0786,6.737,0.079,-1.838,0.094,2.487,16.05342,0.003039,16.227367,0.028196,15.178708,0.049791,1.048659,0.173948,0.874711,,,,,,,,17.367,0.0111,16.26,0.0017,17.096,0.0029,15.322,0.0019,-1.5030012,0.01198499,1.392,-0.04,0.53,b'00 23 34.70',b'-72 08 56.6\r',b'NGC104',,,,,,0.19048532669611307,-0.039159493399482284,-0.06766288863687044,1.4914593190883338,-0.15243105461258297,0.07817756981378755,-120.05985666084736,-0.6151491534327872,1.3672152888029983
4689638850247654144,5.89401204341,0.0406,-72.07095531632,0.0468,0.1429,0.0459,5.637,0.047,-2.758,0.064,1.745,15.144655,0.003098,15.249384,0.014044,14.249776,0.00812,0.999608,0.104729,0.894879,,,,,,,,16.692,0.0065,15.361,0.0017,16.214,0.0024,14.425,0.0026,-1.3110018,0.007780103,1.413,-0.062,1.858,b'00 23 34.56',b'-72 04 15.4\r',b'NGC104',,,,,,1.0417060398265336,-0.0395009785010325,0.010447036767821213,0.39344298855350696,0.03269251776361484,0.04085912235679127,165.1858621149601,-0.37200610831521025,-0.13220303073610426
4689638025619063424,5.89459135396,0.0479,-72.08720598027,0.061,0.0603,0.0638,5.049,0.06,-2.909,0.082,1.354,16.271847,0.003189,16.344442,0.014268,15.348828,0.009055,0.995614,0.072596,0.923018,,,,,,,,17.643,0.0091,16.501,0.0019,17.294,0.002,15.601,0.0023,-1.3440018,0.009803061,1.292,-0.035,0.581,b'00 23 34.71',b'-72 05 14.0\r',b'NGC104',,,,,,,-0.03928817244657241,-0.005803211391671284,-0.19426421712404893,0.06372125689049964,0.03971445274264817,-171.59766102689446,0.1828678890717907,-0.09142384689429736
4689638781528027776,5.89490686043,0.0324,-72.07685676276,0.0426,0.0443,0.0445,4.581,0.04,-2.683,0.048,1.554,15.042204,0.003134,15.241067,0.006063,14.160494,0.009101,1.080573,0.198863,0.88171,,,,,,,,16.486,0.0068,15.249,0.0012,16.128,0.0016,14.278,0.0009,-1.4920006,0.0072228806,1.657,0.073,0.634,b'00 23 34.77',b'-72 04 36.7\r',b'NGC104',,,,,,0.01524781134280202,-0.03921303233104559,0.004546188530325522,-0.6627579218552657,0.020181832692483692,0.039475685361357434,173.38689995919626,0.6606724619201852,0.056278480905753096
4689638781528059264,5.89512880293,0.0642,-72.07836155049,0.0814,0.1234,0.0879,5.194,0.073,-1.5,0.097,1.593,16.33918,0.003263,16.46853,0.009463,15.450567,0.007125,1.017963,0.129351,0.888613,,,,,,,,17.677,0.0072,16.534,0.0027,17.345,0.0024,15.613,0.0021,-1.3999987,0.008232254,1.297,-0.044,1.241,b'00 23 34.83',b'-72 04 42.1\r',b'NGC104',,,,,,,-0.039141553087378406,0.0030415485639948138,-0.0522691843608663,-0.2155536792778097,0.03925954910285141,175.55668112419133,0.03541253281287994,0.21895526667273335
4689637956900121344,5.89649742487,0.041,-72.09987194903,0.0489,0.1441,0.0486,3.998,0.048,-2.844,0.072,1.486,15.611706,0.003245,15.648773,0.025037,14.633789,0.018502,1.014984,0.037067,0.977917,,,,,,,,17.018,0.0077,15.8,0.0014,16.636,0.002,14.867,0.002,-1.3870001,0.008443341,1.476,0.002,0.941,b'00 23 35.16',b'-72 05 59.5\r',b'NGC104',,,,,,0.6414332967715466,-0.03867545611498783,-0.018467917854981118,-1.245497803635202,0.0531269804197104,0.0428585451876365,-154.4750570981324,1.101041827923392,-0.5846316345116338
4689638785808459264,5.89640072386,0.0311,-72.07709304876,0.0394,0.0155,0.0414,4.729,0.042,-2.663,0.053,1.843,14.550129,0.003035,14.820718,0.013211,13.653027,0.018386,1.167691,0.270589,0.897102,,,,,,,,16.227,0.0042,14.768,0.0009,15.683,0.0011,13.782,0.0007,-1.3570004,0.004533211,1.657,0.098,0.79,b'00 23 35.14',b'-72 04 37.6\r',b'NGC104',,,,,,0.761552846797486,-0.03875281635725967,0.0043108701487673574,-0.5148731521974552,0.016010120087829524,0.038991850136394224,173.65250361198744,0.5134868489984332,0.041011494786595146
4689637750741695744,5.89812092441,0.0503,-72.11837575204,0.051,0.2073,0.0603,5.214,0.062,-3.291,0.072,1.47,15.911446,0.003079,16.140715,0.01168,15.088772,0.007453,1.051943,0.229269,0.822674,,,,,,,,17.257,0.0097,16.104,0.0018,16.948,0.0021,15.157,0.0028,-1.4820004,0.010523783,1.545,0.177,0.986,b'00 23 35.55',b'-72 07 06.1\r',b'NGC104',,,,,,0.25271991555044765,-0.038138286962851806,-0.0369706432529939,-0.028662165284952714,0.1386799748335441,0.05311645126513043,-135.890648656948,-0.07594562315835862,-0.11952371087672505
4689638850224598656,5.8983167956,0.0378,-72.06129155026,0.0406,0.1919,0.0439,5.339,0.045,-2.83,0.063,1.39,15.458254,0.003606,15.527802,0.021543,14.517622,0.014886,1.01018,0.069548,0.940632,,,,,,,,16.93,0.0077,15.671,0.0012,16.503,0.0013,14.738,0.0014,-1.3380003,0.008039278,1.622,0.087,0.926,b'00 23 35.59',b'-72 03 40.7\r',b'NGC104',,,,,,0.8429977177853754,-0.03819571144691896,0.020113558450769956,0.09537624237039236,0.04818158017955883,0.043167900186236015,152.22906523693155,-0.06194094203663514,-0.0870713039807564
4689642393580487808,5.91915164262,0.0384,-71.99207928411,0.0389,0.2135,0.0448,4.867,0.044,-2.117,0.051,1.0,16.346485,0.002813,16.785635,0.007683,15.752733,0.00618,1.032902,0.43915,0.593752,,,,,,,,17.714,0.0054,16.571,0.0013,17.38,0.0017,15.664,0.0017,-1.3819981,0.00615061,1.197,0.076,0.375,b'00 23 40.59',b'-71 59 31.5\r',b'NGC104',,,,,,,-0.03189715727376061,0.08933779271619456,-0.37891371336772645,-0.08986444036771234,0.09486131903757593,109.64859258247974,0.04277802167962775,0.38706751437171655
