source_id,ra,e_ra,dec,e_dec,parallax,e_parallax,pmra,e_pmra,pmdec,e_pmdec,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BP_RP,BP_G,G_RP,rv,e_rv,rv_flag,rv_gaia,e_rv_gaia,rv_bh18,e_rv_bh18,U,e_U,V,e_V,B,e_B,I,e_I,CUBI,e_CUBI,chi,sharp,vary,RAJ2000,DEJ2000,Cluster,_2MASS,Jmag,e_Jmag,Kmag,e_Kmag,dCUBI,X,Y,pm_X,pm_Y,r,theta,pm_r,pm_t,p_p1,p_p2
4421572353386774656,229.72127522717,0.0688,2.07598317322,0.0667,0.1977,0.0838,3.675,0.099,-10.021,0.097,1.111,17.008743,0.002964,17.386532,0.012562,16.439802,0.005474,0.94673,0.377789,0.568941,,,,,,,,17.924,0.0023,17.204,0.0011,17.886,0.0016,16.352,0.001,-1.4959999999999989,0.0033778691508109,1.015,0.044,0.296,229.72125888398,2.07602771083,,,,,,,0.8885567602256589,0.0832205415093953,-0.0050146306955396,-0.4072783772748681,-0.1531740480049568,0.0833714882326664,-3.4483095527345693,-0.3973278697694799,-0.1773937131984158,0.00724,0.99276
4421473397337444480,229.72174799747,0.0224,1.92979105436,0.0269,0.0319,0.035,3.938,0.031,-9.958,0.032,1.095,14.634867,0.002771,15.114926,0.003208,13.98725,0.003865,1.127676,0.48006,0.647616,,,,,,,,16.105,0.0018,14.877,0.0014,15.741,0.0018,13.867,0.0026,-1.509999999999998,0.0040595566260368,1.32,0.062,1.132,229.72173048466,1.92983531061,,,,,,,0.9338846835421676,0.0837004692971583,-0.1512065488341084,-0.1443034836052206,-0.0923366736216858,0.1728270493033025,-61.03325472275955,0.0108989909726406,-0.1709700812186103,0.00476,0.99524
4421568779968889856,229.70320782793,0.0632,2.02189625844,0.0674,0.0583,0.0815,4.212,0.091,-9.991,0.103,1.015,16.906685,0.003032,17.234455,0.020782,16.063604,0.088778,1.170851,0.32777,0.843081,,,,,,,,17.778,0.0035,17.111,0.0008,17.796,0.0012,16.238,0.0018,-1.5760000000000003,0.0042860237983473,1.007,0.083,0.268,229.70318909471,2.02194066121,,,,,,,0.0907629072919039,0.0651672165628622,-0.0591023845037138,0.1291195455457763,-0.124450419309171,0.0879764625827602,-42.20596359709867,0.179248829263899,-0.005442528428761,0.9208,0.0792
4421633784299851392,229.70330145355,0.0637,2.35824737995,0.0602,0.0847,0.0766,4.261,0.088,-9.787,0.086,0.94,17.126442,0.002911,17.527164,0.011927,16.562794,0.00649,0.964371,0.400723,0.563648,,,,,,,,18.016,0.0033,17.339,0.0028,18.051,0.0034,16.49,0.0032,-1.596,0.006652067347825,1.137,0.07,0.529,229.70328250072,2.35829087674,,,,,,,-0.2717205321516964,0.0652461343479861,0.277247648145289,0.1781793968551799,0.0979109803246847,0.2848215519398935,76.75724903094647,0.1361241999554046,-0.1510121177863469,0.99328,0.00672
4421568779973953152,229.70344768216,0.0349,2.02021308758,0.0388,0.0683,0.0483,3.851,0.051,-9.868,0.055,0.947,15.976734,0.002816,16.398306,0.003946,15.381501,0.004387,1.016805,0.421572,0.595233,,,,,,,,17.068,0.0031,16.198,0.0006,16.95,0.0007,15.285,0.0011,-1.546999999999997,0.0034351128074635,1.028,0.135,0.294,229.70343055486,2.02025694554,,,,,,,0.5799227906993241,0.0654069891133803,-0.0607855445165897,-0.2318777188616691,0.0024057960650234,0.0892914141844341,-42.902641454217175,-0.1714908560570023,-0.1560895597022242,0.11204,0.88796
4421574964727135872,229.70462282885,0.0207,2.12883061393,0.0208,0.0908,0.0244,3.876,0.028,-9.87,0.03,1.089,14.816854,0.002772,15.293372,0.003203,14.172233,0.003985,1.12114,0.476519,0.644621,,,,,,,,16.168,0.0026,15.073,0.0004,15.933,0.0007,14.072,0.001,-1.6260000000000012,0.0029563490998188,1.145,-0.024,0.361,229.70460558895,2.12887448057,,,,,,,0.0286369808775576,0.0665768326726992,0.0478320139286657,-0.2068179712964184,0.0040139566745646,0.0819779007123302,35.69529277987799,-0.1656213408633894,0.1239328711438753,0.94708,0.05292
4421575407104108544,229.70465793675,0.0577,2.18398426595,0.0536,0.2475,0.0686,4.214,0.08,-10.177,0.075,1.049,16.836958,0.002884,17.23363,0.006433,16.269361,0.005344,0.964268,0.396671,0.567596,,,,,,,,17.735,0.0027,17.042,0.0008,17.754,0.0014,16.162,0.0023,-1.6110000000000042,0.0040620192023179,1.067,0.123,0.249,229.70463919554,2.18402949494,,,,,,,-0.2074251199828737,0.0666095019194662,0.1029856174830379,0.1312075412653374,-0.3114780102105707,0.1226493504031798,57.10583712353228,-0.1902829991797219,-0.2793319708748026,0.99044,0.00956
4421572658329068416,229.70608695991,0.0261,2.10510196096,0.0264,0.117,0.0321,3.874,0.037,-9.966,0.037,0.967,15.265511,0.002791,15.703082,0.003982,14.631644,0.004274,1.071438,0.437572,0.633866,,,,,,,,16.527,0.0018,15.491,0.0005,16.301,0.0006,14.539,0.0007,-1.535999999999996,0.0021095023109728,1.181,0.047,0.175,229.70606972873,2.10514625528,,,,,,,0.6940955592975442,0.0680409938341603,0.0241034282827057,-0.2087707117213976,-0.0960279934738682,0.0721841540569659,19.50662072332604,-0.2288531434444958,-0.0208044307504243,0.04172,0.95828
4421569256710339328,229.70639320161,0.0718,2.05137969622,0.07,0.1167,0.0897,4.23,0.099,-9.828,0.103,0.993,17.249123,0.002974,17.635162,0.009354,16.680609,0.006936,0.954554,0.38604,0.568514,,,,,,,,18.102,0.0024,17.449,0.0008,18.127,0.0011,16.596,0.0016,-1.5559999999999974,0.0032771939216347,1.018,0.061,0.109,229.70637438733,2.05142337809,,,,,,,0.1420256745701642,0.0683493541757672,-0.0296188211411381,0.1472220670522333,0.0454763758237954,0.0744909979932824,-23.42923458874244,0.1170017424461871,0.1002647996544922,0.87964,0.12036
4421572662624534016,229.70681340161,0.0641,2.11017318578,0.0685,0.067,0.0828,3.835,0.09,-9.882,0.095,1.042,17.09172,0.002898,17.48622,0.009339,16.544468,0.006784,0.941751,0.394499,0.547253,,,,,,,,18.0,0.0028,17.299,0.0007,17.973,0.0009,16.448,0.0016,-1.4979999999999976,0.0034669871646719,0.987,-0.068,0.129,229.70679634727,2.11021710464,,,,,,,0.8764911234998451,0.0687667207649769,0.0291746840410605,-0.2477495900618065,-0.0089223386910781,0.0746995587246941,22.989369039461277,-0.2315573691055712,0.0885474579895873,0.00896,0.99104
