source_id,ra,e_ra,dec,e_dec,parallax,e_parallax,pmra,e_pmra,pmdec,e_pmdec,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,BP_RP,BP_G,G_RP,rv,e_rv,rv_flag,rv_gaia,e_rv_gaia,rv_bh18,e_rv_bh18,U,e_U,V,e_V,B,e_B,I,e_I,CUBI,e_CUBI,chi,sharp,vary,RAJ2000,DEJ2000,Cluster,_2MASS,Jmag,e_Jmag,Kmag,e_Kmag,dCUBI,X,Y,pm_X,pm_Y,r,theta,pm_r,pm_t
4421620182139788288,229.58648706052,0.0314,2.12120785674,0.0315,0.143,0.0357,4.212,0.043,-9.607,0.043,1.127,15.412084,0.002828,15.819664,0.006095,14.767643,0.005522,1.052021,0.40758,0.644441,51.09,1.12,B&H+18,,,51.09,1.12,16.558,0.0096,15.645,0.0007,16.427,0.0008,14.706,0.0013,-1.5899999999999999,0.009753460924205315,1.137,0.034,0.557,229.58646832854,2.12125055353,b'NGC 5904',b'15182075+0207163',13.98,0.03,13.38,0.04,0.3098303320413215,-0.051477633909113876,0.04020869374351918,0.12531904650636053,0.2676582899607294,0.0653198732809615,142.0069409255999,0.06599924333147635,-0.2880797172340285
4421478894895672192,229.58663657032,0.0683,2.04069964206,0.0767,0.1941,0.091,4.009,0.086,-9.603,0.086,1.029,17.001,0.002979,17.275633,0.015859,16.330978,0.013634,0.944654,0.274633,0.670021,,,,,,,,17.927,0.008,17.202,0.0007,17.902,0.0009,16.347,0.0018,-1.5300000000000011,0.008298192574289898,1.009,-0.019,0.207,229.58661874339,2.04074232067,,,,,,,0.5300243871079349,-0.051330847310030486,-0.04029951914132924,-0.0776638363197242,0.2693573325022177,0.06526030285394044,-141.86476871002768,-0.10524653047908476,-0.2598234243995762
4421477997245150080,229.58666298602,0.0543,2.01789401162,0.0515,0.02,0.0711,3.944,0.078,-9.852,0.067,0.994,16.499857,0.002847,16.900864,0.005331,15.917825,0.006653,0.983039,0.401007,0.582032,,,,,,,,17.494,0.0058,16.712,0.0006,17.421,0.0008,15.829,0.0017,-1.5189999999999984,0.006148983655857283,0.99,0.014,0.118,229.58664544639,2.01793779739,,,,,,,0.6796378499223116,-0.051305171946515654,-0.06310514099273161,-0.14266740602126832,0.010957306620887376,0.08132945031275,-129.11148924777854,0.08149708859932815,-0.11761069619322395
4421620177842615168,229.58676213774,0.0317,2.117114903,0.0308,0.1024,0.0361,4.069,0.043,-9.638,0.043,1.078,15.432607,0.00279,15.863805,0.004035,14.803489,0.004004,1.060316,0.431198,0.629118,43.99,0.73,B&H+18,,,43.99,0.73,16.581,0.0031,15.659,0.0004,16.454,0.0006,14.723,0.0008,-1.604000000000001,0.0033120990323358386,1.134,0.04,0.367,229.58674403959,2.11715773832,b'NGC 5904',b'15182081+0207016',14.03,0.04,13.4,0.04,0.20437918878325667,-0.051202880639694186,0.036115731964007955,-0.0176723254432034,0.2355886898865487,0.06265844780314013,144.8029343167285,0.1502324471484404,-0.18233089072568584
4421478035902306432,229.58786803193,0.0452,2.02225999599,0.0436,0.0435,0.0523,3.98,0.06,-9.636,0.058,1.037,16.134167,0.002816,16.56092,0.00528,15.54277,0.005765,1.01815,0.426754,0.591396,,,,,,,,17.151,0.0021,16.36,0.0005,17.103,0.0008,15.456,0.0013,-1.5990000000000038,0.002716615541441225,0.992,0.018,0.168,229.58785033174,2.02230282384,,,,,,,0.030280959230822534,-0.05010073912596437,-0.058739197817045216,-0.10662222786270058,0.23471314544143307,0.07720348062851769,-130.46203474196116,-0.10938638243270477,-0.23343774214060378
4421477554865838336,229.58811571173,0.0414,1.99548034848,0.038,0.1258,0.0495,3.796,0.05,-10.163,0.048,1.402,15.504494,0.00285,15.929936,0.004416,14.891139,0.004103,1.038797,0.425443,0.613355,54.52,1.47,B&H+18,,,54.52,1.47,16.672,0.0043,15.726,0.0005,16.498,0.0006,14.797,0.0015,-1.527000000000001,0.004632493928760188,1.023,-0.017,0.403,229.58809882827,1.9955255163,b'NGC 5904',b'15182114+0159438',14.09,0.03,13.61,0.04,0.8186809130279596,-0.04985403098583334,-0.08551883169466719,-0.29062621547536277,-0.3114382653493031,0.09898936801473804,-120.24046130481611,0.41542567423167903,-0.09422791218354429
4421479204133336704,229.58862177639,0.0178,2.06889441685,0.0178,0.0947,0.0205,4.167,0.024,-9.894,0.024,1.096,14.244747,0.002768,14.741932,0.003337,13.583842,0.00388,1.15809,0.497185,0.660905,,,,,,,,15.819,0.0028,14.526,0.0005,15.431,0.0008,13.491,0.0012,-1.5519999999999978,0.003249615361854384,1.256,0.014,0.788,229.58860324536,2.0689383904,,,,,,,0.6342898226327632,-0.0493460298221414,-0.01210481093240428,0.0803873717909991,-0.030898334001743834,0.050809025841054296,-166.21723333931735,-0.07071143551825028,0.04916024282381008
4421620280921857152,229.59469753657,0.0714,2.12841825941,0.0658,0.1443,0.0809,4.202,0.096,-9.828,0.093,0.908,17.131277,0.002916,17.51291,0.010864,16.566936,0.010564,0.945974,0.381634,0.564341,,,,,,,,18.046,0.0036,17.328,0.0009,18.024,0.001,16.488,0.0015,-1.514000000000003,0.004148493702538308,1.091,0.128,0.294,229.59467884652,2.12846193938,,,,,,,0.6931168353008701,-0.04327258476192113,0.04741884777865016,0.11558008800398621,0.03978486906392677,0.06419551165488475,132.38235402786884,-0.04852202941620931,-0.1121927146064998
4421478993681806976,229.59480670405,0.0541,2.06746624337,0.0552,0.123,0.0649,4.076,0.078,-9.974,0.084,0.982,16.564606,0.002908,16.901436,0.011506,15.929873,0.012898,0.971562,0.33683,0.634732,,,,,,,,17.539,0.0046,16.734,0.0018,17.44,0.0024,15.881,0.0025,-1.4600000000000009,0.006239390995922599,1.275,0.275,1.031,229.59478857604,2.06751057365,,,,,,,1.2043844730262163,-0.043165174742676296,-0.013533165689573504,-0.010412432151387837,-0.11322517850911694,0.045236919481185155,-162.59272428232117,0.043808234005204054,0.104924727424349
4421478890602592128,229.59510718434,0.0355,2.04106606395,0.0342,0.0837,0.0439,3.814,0.047,-9.853,0.045,1.035,15.948058,0.002825,16.321526,0.004866,15.327153,0.005372,0.994372,0.373467,0.620905,,,,,,,,17.029,0.0047,16.151,0.0006,16.893,0.0008,15.255,0.0018,-1.5020000000000007,0.005158488150611573,1.204,0.207,0.357,229.59509022158,2.04110985286,,,,,,,0.988632025596897,-0.04286559858907603,-0.03993335018419406,-0.27239587923122455,0.011358964281676973,0.05858440064840869,-137.02822956460037,0.19156653979285843,-0.19398660243299143
