ID,x_1,y_1,U,sigma_U,N_U,B,sigma_B,N_B,V,sigma_V,N_V,R,sigma_R,N_R,I,sigma_I,N_I,chi,sharp,vary,wt,ra_1,dec_1,cc,sigma_cc,source_id,ra_2,dec_2,x_2,y_2,plx,pmra,pmdec,plxe,pmrae,pmdece,pmcorr,g_mag,bp_rp,qflag,memberprob,x,y,mu_x,mu_y,r,theta,mu_r,mu_t,Del_CUBI,Del_CUBI_sigma,p_p1,p_p2
92704,638.046,-363.648,17.242,0.0024,34,17.166,0.0009,223,16.436,0.0007,248,16.004,0.0012,25,15.542,0.001,75,1.022,0.018,0.29,295.0,229.72191666666663,2.0348055555555558,-1.548,0.002894822965226,4421568814334196224,229.721929,2.034806,0.0835,-0.0462,0.0283,3.9679,-9.8359,0.0547,0.062,0.0672,-0.3974,16.2234,0.9956,3,1.0,0.0838760478926675,-0.0461917642428611,-0.1143774684134249,0.0375203735489087,0.0957542191966553,-28.84221889630895,-0.1182889105335361,-0.0223095799311139,0.4940423107411859,0.002894822965226,0.40324,0.59676
95376,699.704,-350.81,17.473,0.0056,36,17.403,0.0009,94,16.689,0.0011,117,16.256,0.0028,26,15.807,0.0016,75,1.072,0.062,0.292,166.5,229.7390833333333,2.038361111111111,-1.525999999999998,0.0059615434243155,4421568981832722688,229.739067,2.03837,0.1006,-0.0427,0.1295,4.007,-10.056,0.0592,0.0691,0.0766,-0.4383,16.4801,0.9807,3,1.0,0.1010029955894969,-0.0426267612843583,-0.0747077633220137,-0.1889098895117955,0.1096295849469732,-22.88142871828221,0.0046238328404186,-0.2030931225467782,0.6288444244058522,0.0059615434243155,0.17264,0.82736
96686,736.862,-398.731,18.082,0.0021,32,18.047,0.0015,64,17.378,0.0014,88,16.957,0.0044,21,16.526,0.0027,61,1.039,0.118,0.211,127.0,229.74941666666663,2.0250555555555554,-1.4860000000000009,0.0040249223594996,4421568917412899584,229.749392,2.025059,0.1109,-0.056,0.1997,3.7803,-9.5075,0.0853,0.094,0.0991,-0.3204,17.1822,0.9479,3,0.99971,0.1113223619717669,-0.0559370616068739,-0.301113899214958,0.3786350214776947,0.1245858063191161,-26.67853149333067,-0.4390583696664847,0.2031300268686505,0.8811021230156877,0.0040249223594996,0.04564,0.95436
99848,868.689,-480.1,17.881,0.0024,30,17.836,0.0012,42,17.118,0.0023,60,16.686,0.0016,18,16.24,0.0037,36,1.045,-0.023,0.305,88.0,229.78604166666665,2.0024444444444445,-1.5509999999999984,0.0047254629402842,4421567920980479872,229.786037,2.002449,0.1475,-0.0786,0.2393,4.1203,-9.8108,0.0812,0.0848,0.0858,-0.2794,16.9071,0.9858,3,0.99999,0.1479464342883091,-0.0785440351232517,0.0400793205316382,0.0672765308431245,0.1675031727223922,-27.963612917659397,0.003853194834171,0.0782153209168997,0.3737700593243637,0.0047254629402842,0.6916,0.3084
102530,1030.836,-457.521,17.715,0.0061,10,17.682,0.003,27,16.982,0.0017,40,16.551,0.0021,18,16.115,0.0024,24,1.083,-0.023,0.168,56.5,229.831125,2.008722222222222,-1.533999999999999,0.0078083288865159,4421556238669432960,229.831111,2.008712,0.1926,-0.0723,0.1627,4.0987,-9.9702,0.0725,0.076,0.0731,-0.1626,16.7671,0.9799,3,1.0,0.1929919696166772,-0.072276170873832,0.0199515975209945,-0.0943312288132577,0.2060818895796228,-20.531101726949547,0.0517677615281162,-0.0813421529062701,0.5269719585710289,0.0078083288865159,0.33364,0.66636
18410,-414.432,-290.578,17.067,0.0027,36,16.995,0.002,44,16.222,0.0012,64,15.773,0.0017,19,15.322,0.0027,44,1.186,0.045,0.439,96.0,229.42941666666664,2.055111111111111,-1.6010000000000026,0.0047518417482066,4421525104447191680,229.429395,2.055106,-0.2089,-0.0259,0.1673,4.0503,-10.097,0.0441,0.0537,0.044,-0.0247,15.9997,1.0159,3,0.99992,-0.2084703645073938,-0.0258802184321235,-0.0415509483560283,-0.2526061808810895,0.2100706514102816,-172.92331361297045,0.0723549167190915,0.2455628839120203,0.1169428140653519,0.0047518417482066,0.97072,0.02928
19223,-354.951,-284.354,16.882,0.0034,37,16.712,0.001,57,15.937,0.0009,94,15.479,0.0023,22,15.02,0.0013,58,1.129,0.028,0.29,126.5,229.44591666666665,2.056833333333333,-1.5219999999999985,0.0039051248379533,4421525830298334976,229.445926,2.056838,-0.1924,-0.0242,0.2047,3.9545,-9.8697,0.0361,0.041,0.0359,-0.1453,15.7071,1.0375,3,0.99999,-0.1919498900057741,-0.0241503161813694,-0.1367792156836662,-0.0158076139884268,0.1934631697375211,-172.82896924880808,0.1376826106880607,-0.0013904018001614,0.8120239873289271,0.0039051248379533,0.05896,0.94104
19088,-364.147,-241.152,18.076,0.0027,34,18.075,0.0019,62,17.38,0.0009,90,16.959,0.0035,21,16.535,0.0013,57,0.97,0.009,0.22,124.5,229.443375,2.068833333333333,-1.538999999999998,0.0040249223594996,4421526616275690752,229.44337,2.068839,-0.1949,-0.0122,0.2017,4.0854,-9.8474,0.0766,0.0885,0.0768,-0.07,17.1769,0.9359,3,0.99999,-0.19450276125399,-0.0121490038853354,-0.005968074528278,0.007045396078985,0.1948818165731029,-176.42584249320714,0.005517253737108,-0.0074037443692516,0.4550420978212321,0.0040249223594996,0.49584,0.50416
19169,-358.748,-218.524,15.76,0.0018,35,15.383,0.002,65,14.446,0.0008,95,13.91,0.0019,22,13.395,0.0013,58,1.259,0.022,0.432,130.0,229.444875,2.075138888888889,-1.6109999999999989,0.003595830919273,4421526620572321664,229.444871,2.075124,-0.1934,-0.0059,0.1316,3.9775,-9.8085,0.0207,0.0226,0.0198,-0.0762,14.1618,1.1837,3,1.0,-0.1930019822855027,-0.0058641883278896,-0.1138170409024451,0.0479829911383152,0.1930910507270558,-178.25965568212268,0.1123072930299868,-0.051417488957019,0.0518945125528944,0.003595830919273,0.98212,0.01788
19493,-334.589,-195.707,17.492,0.0021,39,17.479,0.0013,73,16.754,0.001,103,16.309,0.0043,23,15.876,0.0007,73,0.992,0.009,0.206,150.0,229.4515833333333,2.0814722222222226,-1.589999999999998,0.0028774989139876,4421526723651537152,229.451587,2.081463,-0.1867,0.0004,0.2,4.1975,-9.9278,0.0568,0.0649,0.0554,-0.0406,16.5356,0.9915,3,0.99999,-0.1862896754618829,0.0004740044083052,0.1063846193415433,-0.0755303789645838,0.1862902785007117,179.8542141780564,-0.106576457470841,0.0752594452008831,0.0931013254684632,0.0028774989139876,0.97644,0.02356
17808,-463.555,-186.861,17.47,0.0023,34,17.51,0.0033,38,16.793,0.0016,54,16.372,0.0029,20,15.955,0.0032,36,1.076,0.009,0.545,85.0,229.41574999999995,2.083916666666666,-1.5950000000000042,0.0061081912216301,4421526861090493696,229.415741,2.083916,-0.2225,0.0029,0.0922,4.222,-9.7193,0.0618,0.0662,0.0611,-0.1121,16.5974,0.9623,3,0.99999,-0.2221114499558931,0.002931643435797,0.1297311712676397,0.1376209662813838,0.2221307964572761,179.24379836009044,-0.1279035748551391,-0.1393211494998921,0.0404044283720885,0.0061081912216301,0.98512,0.01488
17410,-495.247,-49.866,17.347,0.0033,34,17.251,0.0054,37,16.522,0.0014,54,16.074,0.0026,18,15.659,0.0051,34,1.064,0.0,0.875,81.0,229.40691666666663,2.1219722222222224,-1.4960000000000004,0.0097580735803743,4421530090905904000,229.406933,2.121969,-0.2313,0.041,0.1476,4.099,-9.8692,0.05,0.0576,0.0496,-0.0276,16.3151,0.9964,3,1.0,-0.2309079244990569,0.0409859039810932,0.0063945547021624,-0.0164193223584471,0.2345171932324143,169.9348914153079,-0.0091656995138079,0.0150490673788155,0.8785861881121689,0.0097580735803743,0.04444,0.95556
21533,-216.986,-281.727,17.384,0.0028,41,17.295,0.0018,98,16.577,0.001,137,16.136,0.003,22,15.691,0.0018,107,1.035,0.007,0.616,195.0,229.48429166666665,2.057583333333333,-1.5150000000000023,0.0041904653679513,4421525899017806336,229.484276,2.057571,-0.154,-0.0234,0.0918,3.8978,-9.7998,0.0505,0.0548,0.049,-0.1577,16.361,0.9849,3,1.0,-0.1536247029684647,-0.023421515854629,-0.1922153427774375,0.0593600460689543,0.155399860897871,-171.33147706976146,0.1810730236014995,-0.0876522286776951,0.7274877375398446,0.0041904653679513,0.09284,0.90716
21907,-199.0,-309.71,17.521,0.002,36,17.464,0.0017,79,16.75,0.0012,114,16.31,0.0022,22,15.863,0.0018,93,1.06,-0.005,0.417,164.5,229.48929166666665,2.0498055555555554,-1.543999999999997,0.0036083237105337,4421525692859372288,229.489276,2.049798,-0.149,-0.0312,0.1515,4.044,-9.772,0.0528,0.0583,0.0528,-0.1924,16.5326,0.9885,3,1.0,-0.148628667141376,-0.0311949938275075,-0.0458462553331432,0.0878386940794791,0.1518670745623296,-168.14650735893284,0.0268256981686347,-0.095382897960931,0.4733566865856437,0.0036083237105337,0.4492,0.5508
23477,-129.539,-282.269,17.923,0.004,39,17.874,0.0011,227,17.165,0.0008,276,16.736,0.0022,25,16.303,0.0009,111,0.996,-0.001,0.214,331.5,229.5085833333333,2.0574166666666667,-1.5219999999999985,0.0043852023898561,4421525722922819328,229.508584,2.057421,-0.1297,-0.0236,0.0651,4.1042,-9.5692,0.0678,0.0731,0.0675,-0.2231,16.9601,0.972,3,0.99999,-0.1293324619211698,-0.0235736954136187,0.0149978178608648,0.2992097118154909,0.1314633212042237,-169.66998191413356,-0.0684083076263938,-0.2916705155359202,0.6113858410674795,0.0043852023898561,0.19444,0.80556
23244,-138.363,-274.709,16.885,0.0028,41,16.733,0.0012,196,15.982,0.0011,253,15.533,0.0023,26,15.071,0.0011,110,1.112,0.007,0.548,305.5,229.506125,2.0595277777777774,-1.5099999999999998,0.0034539832078341,4421525727219110272,229.506131,2.05952,-0.1322,-0.0215,0.1911,3.9884,-9.926,0.0387,0.0426,0.0393,-0.203,15.7559,1.0215,3,1.0,-0.1317837006960136,-0.0214744926127575,-0.1009120407017409,-0.0699131548126706,0.1335218993353221,-170.7448523667477,0.1108425791476608,0.0527732112188069,0.9003952876024734,0.0034539832078341,0.04356,0.95644
