ID,x_1,y_1,U,sigma_U,N_U,B,sigma_B,N_B,V,sigma_V,N_V,R,sigma_R,N_R,I,sigma_I,N_I,chi,sharp,vary,wt,ra_1,dec_1,cc,sigma_cc,source_id,ra_2,dec_2,x_2,y_2,plx,pmra,pmdec,plxe,pmrae,pmdece,pmcorr,g_mag,bp_rp,qflag,memberprob,x,y,mu_x,mu_y,r,theta,mu_r,mu_t,Del_CUBI,Del_CUBI_sigma
41020,203.235,-334.274,17.025,0.0046,46,16.905,0.0009,254,16.155,0.0007,288,15.709,0.0025,46,15.243,0.0008,105,1.061,-0.029,0.457,362.0,229.6010833333333,2.042972222222222,-1.5420000000000034,0.004839421453025144,4421478894895767296,229.601074,2.042973,-0.0373,-0.0381,0.19,4.0719,-9.825,0.0532,0.0565,0.0597,-0.4985,15.9191,1.0176,3,1.0,-0.036902526193988254,-0.03802656540119942,-0.014301190947947545,0.04063222593530496,0.05298883010323672,-134.14054914086032,-0.019199403372017077,-0.03856014467226367,0.604318696717955,0.004839421453025144
42395,215.425,-329.501,17.054,0.0051,46,16.919,0.0008,258,16.182,0.0006,293,15.743,0.0029,43,15.285,0.0013,108,1.182,0.148,0.408,366.5,229.6044583333333,2.0443055555555554,-1.4990000000000023,0.005383307533477909,4421478929253606144,229.60446,2.044297,-0.0339,-0.0367,0.1636,4.1535,-9.7156,0.0539,0.0581,0.0642,-0.263,15.9697,0.9972,3,1.0,-0.03351865143679264,-0.03670264124302751,0.06741116337323678,0.15409673856873876,0.049704968246198335,-132.4038599239487,-0.15924542112690357,-0.054138393354167466,0.943810717290483,0.005383307533477909
42784,218.705,-331.523,17.873,0.007,46,17.855,0.0012,258,17.168,0.0013,293,16.739,0.0039,43,16.297,0.0025,107,1.048,-0.044,0.54,366.0,229.60537499999998,2.0437499999999997,-1.5399999999999991,0.007624303246854758,4421478169048089728,229.605373,2.043739,-0.033,-0.0373,0.1479,3.9181,-9.5511,0.0874,0.1048,0.0913,-0.2684,16.9315,0.9527,3,1.0,-0.032606244004273505,-0.03726066025764431,-0.167955745949878,0.32453525188145466,0.04951286651873244,-131.18868259564064,-0.1336216663020177,-0.3401139700247719,0.46194310109948045,0.007624303246854758
44963,236.249,-363.554,16.503,0.0047,44,16.278,0.0007,257,15.479,0.0006,294,15.0,0.0028,35,14.526,0.0009,103,1.11,-0.024,0.533,359.0,229.61024999999998,2.0348333333333333,-1.5269999999999975,0.004886716689148246,4421478138981412736,229.610249,2.034841,-0.0281,-0.0462,0.1454,3.8179,-9.7862,0.0351,0.0366,0.0364,-0.3789,15.23,1.0733,3,1.0,-0.027733499695778326,-0.046158751122116884,-0.26800120491406154,0.08129910050506273,0.05384958041182181,-120.99865378347921,0.06833751275579707,-0.2715956073442138,0.798836577144723,0.004886716689148246
44781,234.852,-330.574,15.532,0.0028,46,14.938,0.0004,259,13.936,0.0004,298,13.371,0.0017,46,12.826,0.001,110,1.497,0.121,0.464,372.0,229.609875,2.044,-1.5180000000000007,0.003026549190084311,4421478169048091264,229.609861,2.044001,-0.0285,-0.037,0.1507,4.0617,-9.6726,0.0187,0.0192,0.0191,-0.3525,13.6288,1.2518,3,1.0,-0.028121094891091665,-0.03699874667783628,-0.02421261460276734,0.1990283969446208,0.04647260734674226,-127.2368436907891,-0.14380333682552654,-0.13971096526075483,0.8522537356693938,0.003026549190084311
51617,281.707,-469.664,17.094,0.0038,31,16.958,0.0007,222,16.208,0.0006,250,15.759,0.0027,33,15.299,0.001,77,0.992,0.032,0.165,300.5,229.622875,2.005361111111111,-1.5229999999999961,0.004052159917870962,4421477761024396032,229.622884,2.005365,-0.0155,-0.0757,0.129,4.1084,-9.5309,0.0475,0.0532,0.0578,-0.5009,15.9898,1.0131,3,0.99999,-0.015106742102461674,-0.07563490567119817,0.02291289073742452,0.3453423159515154,0.07712880533783298,-101.29518970384756,-0.34314122339291675,-0.04517097029192352,0.7440756015728361,0.004052159917870962
55575,306.018,-464.931,16.746,0.0056,25,16.609,0.0009,228,15.839,0.0006,254,15.39,0.0024,33,14.911,0.0013,74,1.139,0.147,0.392,301.0,229.62966666666665,2.0066944444444443,-1.5610000000000053,0.0058881236400062115,4421477795383993984,229.629639,2.006681,-0.0088,-0.0743,0.1114,4.0729,-10.061,0.0458,0.0463,0.0493,-0.3442,15.6177,1.0347,3,1.0,-0.00835587259340112,-0.07431895702108365,-0.01237213582959134,-0.20278833237260405,0.07478721802219167,-96.41497248904768,0.2029009468459489,0.010362589467165206,0.5181027323244936,0.0058881236400062115
48067,257.797,-429.154,17.926,0.0041,36,17.93,0.001,232,17.242,0.0008,255,16.824,0.0015,32,16.385,0.0015,81,0.972,-0.025,0.19,311.5,229.61624999999998,2.016611111111111,-1.5489999999999995,0.0045891175622335065,4421478065964678400,229.616239,2.016618,-0.0222,-0.0644,0.296,3.5776,-9.7295,0.0918,0.0974,0.1053,-0.4849,17.0307,0.9377,3,0.99994,-0.02174752207980062,-0.06438183648630567,-0.5081046557183333,0.1398794136632432,0.06795568840031581,-108.66443936561019,0.030083186984641155,-0.526147881674217,0.3828550070572896,0.0045891175622335065
52349,286.41,-434.021,17.095,0.0053,37,17.028,0.0011,228,16.299,0.0008,252,15.864,0.0041,33,15.4,0.0022,75,1.215,0.264,0.575,305.5,229.6242083333333,2.015277777777778,-1.5609999999999982,0.005945586598477899,4421477864103480064,229.624196,2.015264,-0.0142,-0.0658,0.111,3.9467,-9.9732,0.0508,0.0539,0.0567,-0.4285,16.098,1.0001,3,1.0,-0.013795462010845177,-0.06573592523323314,-0.1387489559426075,-0.11198930863267155,0.06716789886814899,-101.85219709793122,0.1380991057671455,-0.11278969372022496,0.42080769021082187,0.005945586598477899
57268,316.176,-407.784,16.741,0.0031,38,16.584,0.0007,238,15.809,0.0005,253,15.34,0.0024,31,14.873,0.0011,86,1.078,0.025,0.25,315.5,229.63245833333332,2.0225555555555554,-1.5540000000000003,0.0034351128074635337,4421477894170192384,229.632466,2.022554,-0.0059,-0.0585,0.1158,4.0535,-9.574,0.0389,0.0406,0.0424,-0.427,15.5667,1.0454,3,1.0,-0.005530552374146397,-0.05844598016537178,-0.03167871968931899,0.3019838944220438,0.05870706607431688,-95.40561662685396,-0.29765656936669105,-0.05998650251773969,0.5803718604866915,0.0034351128074635337
57261,316.126,-402.903,16.893,0.0037,38,16.826,0.0007,239,16.063,0.0007,260,15.602,0.0034,31,15.141,0.0014,88,1.146,0.144,0.238,320.5,229.63245833333332,2.0239166666666666,-1.6180000000000003,0.004077989700820737,4421477894170192512,229.63245,2.02391,-0.006,-0.0571,0.1942,3.8617,-10.152,0.0483,0.0472,0.0498,-0.4376,15.8422,1.0353,3,1.0,-0.0055465377689719935,-0.05708998079847152,-0.22348123469162168,-0.2961884582436235,0.05735878301352356,-95.54911643502061,0.3164108363047368,-0.19379279585413758,0.0073958966590033405,0.004077989700820737
66697,373.046,-411.013,17.797,0.0066,38,17.76,0.0018,239,17.067,0.0015,257,16.664,0.0047,32,16.218,0.0033,84,1.301,0.378,0.661,317.5,229.64829166666667,2.0216666666666665,-1.5050000000000026,0.007805767098754612,4421477829743735680,229.648276,2.021665,0.0099,-0.0594,0.1758,4.0683,-9.8133,0.0768,0.085,0.0878,-0.3018,16.8961,0.9635,3,1.0,0.010269603743092118,-0.05933495595338515,-0.01636675110857681,0.05539869874714392,0.060217121809584086,-80.18061297955579,-0.05737835510320946,-0.006679126468102089,0.7638347327695024,0.007805767098754612
49547,267.601,-382.434,17.882,0.006,37,17.824,0.0009,248,17.12,0.0007,277,16.694,0.0023,31,16.26,0.0017,91,1.066,0.107,0.21,334.5,229.61895833333332,2.029611111111111,-1.5060000000000002,0.006364746656387825,4421478104621665664,229.618966,2.029594,-0.0194,-0.0514,0.1595,3.7025,-9.969,0.0809,0.0937,0.0973,-0.4615,16.9267,0.9778,3,1.0,-0.019022059006626905,-0.05140587837009158,-0.38311987506555945,-0.10745178908378411,0.0548124352665729,-110.30632070417167,0.23373131312432854,-0.3220192523945315,0.7492196498022072,0.006364746656387825
49886,269.855,-383.195,17.91,0.005,37,17.899,0.0011,247,17.199,0.0009,275,16.763,0.0037,31,16.33,0.0015,89,1.008,-0.009,0.281,332.0,229.6195833333333,2.0293888888888887,-1.5580000000000034,0.005447017532558529,4421478104619780992,229.61959,2.029384,-0.0188,-0.0516,0.1108,3.8145,-9.6941,0.0816,0.094,0.0986,-0.469,16.9821,0.9923,3,1.0,-0.018398452884897526,-0.051615885684593896,-0.2710964131351985,0.1770680502500991,0.054796922573834915,-109.61858012348739,-0.0757664748449362,-0.3148107382598527,0.31122532728541225,0.005447017532558529
55152,303.511,-367.78,18.141,0.0059,39,18.125,0.0013,258,17.448,0.0012,286,17.021,0.0034,30,16.59,0.0025,105,1.049,-0.067,0.33,351.5,229.62895833333332,2.0336666666666665,-1.519000000000002,0.006666333324999584,4421478100328621952,229.628947,2.033665,-0.0095,-0.0474,0.0608,4.0489,-10.068,0.0898,0.1,0.1009,-0.3955,17.2157,0.9385,3,1.0,-0.009047297919282373,-0.04733496866093026,-0.03639544628979624,-0.2091930855291393,0.04819183393243612,-100.8206356188951,0.2123062717936482,0.0035245568397770225,0.6094875295570513,0.006666333324999584
48477,260.545,-357.127,15.619,0.0024,44,15.078,0.0005,259,14.098,0.0004,296,13.545,0.0018,37,13.01,0.0009,105,1.549,0.172,0.492,363.0,229.617,2.0366388888888887,-1.5269999999999992,0.0026589471600616662,4421478169048094848,229.617006,2.036624,-0.0214,-0.0444,0.1281,3.9876,-10.163,0.021,0.025,0.0232,-0.3884,13.8066,1.2232,3,1.0,-0.02098073793069913,-0.0443758559853213,-0.09808671989735886,-0.3082420265359921,0.049085720515712646,-115.30460839034689,0.3205909045950709,0.043076947827722284,0.726815763913003,0.0026589471600616662
49049,264.392,-359.2,17.213,0.005,44,17.211,0.0013,259,16.488,0.0013,293,16.029,0.0038,34,15.578,0.0014,104,1.276,0.145,0.527,359.5,229.61808333333332,2.0360555555555555,-1.6309999999999967,0.005508175741568165,4421478100328618496,229.618071,2.036048,-0.0203,-0.045,0.0488,3.7746,-9.8819,0.0618,0.0835,0.0681,-0.2254,16.2619,0.9977,3,1.0,-0.019916417862404917,-0.04495186961232656,-0.3110483485913131,-0.01717458403891552,0.049166393828646106,-113.89626160017735,0.1417024517315653,-0.2774282910439312,-0.15446167650500242,0.005508175741568165
